plocate 1.1.24-1.1
plymouth 24.004.60-14.1
plymouth-kcm 6.5.5-1.1
poppler-glib 26.01.0-1.1
power-profiles-daemon 0.30-3
powerdevil 6.5.5-1.1
pv 1.10.3-1.1
python 3.14.2-3
python-defusedxml 0.7.1-8
python-isort 7.0.0-2
python-packaging 26.0-1
python-pipx 1.8.0-2
qbittorrent 5.1.4-1
qt6-wayland 6.10.1-1.1
rebuild-detector 4.4.5-1
reflector 2023-5
ripgrep 15.1.0-2
rsync 3.4.1-2.1
rtkit 0.14-1.1
s-nail 14.9.25-1.1
sddm 0.21.0-8
sddm-kcm 6.5.5-1.1
sg3_utils 1.48-1.2
smartmontools 7.5-1.1
snapper 0.13.0-2.1
sof-firmware 2025.12.1-1
solaar 1.1.18-2
spectacle 1:6.5.5-1.1
sudo 1.9.17.p2-2.1
sysfsutils 2.1.1-2.2
systemd-boot-manager 19-1
texinfo 7.2-1.1
tmux 3.6_a-1.1
ttf-bitstream-vera 1.10-16
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-firacode-nerd 3.4.0-1
ttf-hack-nerd 3.4.0-1
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-meslo-nerd 3.4.0-1
ttf-nerd-fonts-symbols-mono 3.4.0-1
ttf-opensans 3.003-1
ufw 0.36.2-7
unrar 1:7.2.3-1.1
unzip 6.0-23.1
upower 1.91.0-1.1
usb_modeswitch 2.6.2.20251207-1.1
usbutils 019-1.1
vi 1:070224-6.1
vim 9.1.2077-1.1
virtualbox 7.2.4-2
virtualbox-host-dkms 7.2.4-2
vivaldi 7.7.3851.67-1.1
vlc-plugins-all 3.0.21-32.1
vulkan-intel 1:25.3.3-6
wget 1.25.0-3.1
which 2.23-1.1
wireless-regdb 2025.10.07-1
wireplumber 0.5.13-1.1
wl-clipboard 1:2.2.1-3.1
wpa_supplicant 2:2.11-5.1
xdg-desktop-portal 1.20.3-2.1
xdg-desktop-portal-kde 6.5.5-1.1
xdg-user-dirs 0.19-2.1
xf86-input-libinput 1.5.0-1.1
xfsprogs 6.17.0-2.1
xl2tpd 1.3.19-1.1
xorg-server 21.1.21-1.1
xorg-xdpyinfo 1.4.0-1.1
xorg-xinit 1.4.4-1.1
xorg-xinput 1.6.4-2.1
xorg-xkill 1.0.6-2.1
xorg-xrandr 1.5.3-1.1
xsettingsd 1.0.2-3.1
yay 12.5.7-1
ydotool 1.0.4-2.1
